<<<<<<< HEAD
label,message
spam,MacBook for 10000 Rs only! Limited stock at winner.com
ham,He is a womdarfull actor
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
spam,basketball betting - get 200% bonus! Join claim.com
ham,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!
spam,WhatsApp +447310399942 for form filling - earn 10 lakh/month
spam,CONGRATULATIONS! You won 1 crore in Airtel lottery! Call +447890123456
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
ham,happened here while you were adventuring
spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?"
spam,Place bets on tennis! Minimum deposit 10 lakh. WhatsApp +918765432109
ham,Ok lor then we go tog lor...
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
ham,"How about clothes, jewelry, and trips?"
ham,", ,  and  picking them up from various points | going 2 yeovil | and they will do the motor project 4 3 hours | and then u take them home. || 12 2 5.30 max. || Very easy"
spam,PayTM verification required! Update at prize.in within 48 hours
ham,Da is good good player.why he is unsold.
ham,"whatever, im pretty pissed off."
spam,Your Aadhaar will be suspended! Verify at betking.com
spam,Axis Alert: Suspicious activity. Click kyc.in to secure account
ham,Yes fine 
ham,How is your document doing?
spam,Your PayTM is blocked! Update at lottery.in immediately
ham,Can you confirm the report?
spam,Axis Alert: Unusual transaction. Verify at lottery.in
ham,I am joining today formally.Pls keep praying.will talk later.
ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
ham,Thanx a lot...
spam,You have 1 new message. Call 0207-083-6089
spam,Laptop for 2 crore only! Limited stock at betking.com
spam,Business loan - get 1 lakh in 24 hours. WhatsApp +918899776655
ham,Yunny i'm walking in citylink now ü faster come down... Me very hungry...
spam,Airtel Warning: SPAM | Deposit now and win 1 cr at airtel-lottery.com
spam,Gold loan - get 10 crore in 24 hours. WhatsApp +447310399942
ham,Yo we are watching a movie on netflix
ham,10 min later k...
spam,WhatsApp +447310399942 for survey - earn 10000 Rs/month
spam,MacBook for 5 crore! Limited time at betking.com
spam,Flipkart refund of 1 lakh pending! Claim at claim.com
spam,MacBook for 5000 Rs! Limited time at verify.in
spam,Your electricity bill is overdue! Pay now at electricity-payment.com to avoid disconnection
ham,"I'm ready, will reach soon"
spam,Online ad posting - earn 5000 Rs weekly! Join at winner.com
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
spam,PhonePe KYC pending! Complete at lottery.in to avoid block
ham,"Anyway I don't think I can secure anything up here, lemme know if you want me to drive down south and chill"
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622"
ham,Let me know if you need anything else. Salad or desert or something... How many beers shall i get?
ham,Wa... U so efficient... Gee... Thanx...
ham,Hey morning what you come to ask:-) pa...
ham,Let me think about feedback
ham,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.
spam,"iPhone 14 at 90% off! Hurry, buy at verify.in"
spam,iPhone 14 sale - 60% discount! Order at kyc.in
spam,Watch for 10 lakh only! Limited stock at prize.in
spam,SBI: Your credit card will expire. Renew at winner.com
spam,Instant loan - get 25 lakh in 1 hour! Apply at winner.com
ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
spam,HDFC: Your debit card will expire. Renew at secure.com
spam,Your PayTM will be suspended! Verify at bet365.in
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
spam,Government lottery winner! Prize: 50000 Rs. Contact +447310399942
spam,Gold loan - get 50000 Rs in 24 hours. WhatsApp +918899776655
ham,Ok leave no need to ask
ham,Have your lunch and come quickly and open the door:)
ham,I need you to be in my strong arms...
spam,typing jobs - earn 5 crore daily! Join at prize.in
ham,"Mah b, I'll pick it up tomorrow"
spam,Airtel lottery winner! Prize: 1 lakh. Contact +447310399942
spam,Tone Club: Your subs has now expired 2 re-sub reply MONOC 4 monos or POLYC 4 polys 1 weekly @ 150p per week Txt STOP 2 stop This msg free Stream 0871212025016
spam,horse racing betting - get 200% bonus! Join claim.com
spam,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
spam,Google Pay refund of 5 crore pending! Claim at prize.in
ham,So dont use hook up any how
ham,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free
spam,Win 10 lakh in football betting! Play now at prize.in
spam,HDFC Alert: Unusual transaction. Verify at betking.com
spam,Instant loan - get 50000 Rs in 1 hour! Apply at claim.com
ham,Am in film ill call you later.
ham,Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.
ham,Nope... Juz off from work...
ham,Can we postpone until tomorrow?
ham,"No my blankets are sufficient, thx"
spam,CONGRATULATIONS! You won 5 lakh in TATA lottery! Call +447890123456
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
spam,Lucky draw winner! You won 10 lakh! Verify at kyc.in
ham,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
ham,I'm feeling tired now
spam,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... 
spam,Yes Bank: Your account is locked. Update KYC at betking.com
ham,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
spam,CONGRATULATIONS! You won 10 crore in Reliance lottery! Call +918765432109
ham,"Aight, I'll text you when I'm back"
spam,Vehicle loan approved! Get 25 lakh instantly. Apply at betking.com
spam,URGENT: IPL betting bonus 25 lakh! Claim at update.com
ham,Great. Never been better. Each day gives even more reasons to thank God
spam,Education loan - get 10 crore in 24 hours. WhatsApp +918765432109
ham,Mm i am on the way to railway
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
spam,Personal loan approved! Get 5 crore instantly. Apply at claim.com
ham,What Today-sunday..sunday is holiday..so no work..
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...
ham,When did you get to the library
spam,MacBook sale - 70% discount! Order at secure.com
ham,That's y we haf to combine n c how lor...
ham,Wif my family booking tour package.
spam,CONGRATULATIONS! You won 5000 Rs in Government lottery! Call +919988776655
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705
ham,Then we gotta do it after that
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham,Mmm so yummy babe ... Nice jolt to the suzy
ham,Shopping lor. Them raining mah hard 2 leave orchard.
ham,Guess which pub im in? Im as happy as a pig in clover or whatever the saying is! 
spam,survey jobs - earn 1 crore daily! Join at verify.in
ham,Dude im no longer a pisces. Im an aquarius now.
spam,Watch for 2 crore! Limited time at winner.com
spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
ham,Cuz ibored. And don wanna study
ham,So how are you really. What are you up to. How's the masters. And so on.
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
ham,Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.
spam,Jio lottery winner! Prize: 2 crore. Contact +918899776655
